,Qmax,Qmax-SSY-predicted
2014-03-06 19:45:00,3692.0,12.312
2014-03-13 12:30:00,1083.0,1.937
2014-03-13 16:00:00,691.0,0.984
2014-03-13 20:00:00,691.0,0.984
2014-03-14 00:30:00,2340.0,6.19
2014-04-06 12:30:00,4058.0,14.199
2014-04-08 14:30:00,907.0,1.482
2014-04-09 23:45:00,451.0,0.517
2014-04-18 19:00:00,1886.0,4.471
2014-04-19 06:45:00,1206.0,2.278
2014-04-25 15:45:00,1886.0,4.471
2014-04-27 11:45:00,1206.0,2.278
2014-04-28 09:15:00,965.0,1.628
2014-04-28 21:15:00,1334.0,2.652
2014-04-30 11:45:00,3692.0,12.312
2014-05-19 13:30:00,1672.0,3.728
2014-05-20 01:00:00,1334.0,2.652
2014-05-22 13:30:00,2340.0,6.19
2014-06-05 19:15:00,1742.0,3.966
2014-06-17 01:45:00,1534.0,3.274
2014-07-03 10:30:00,2499.0,6.835
2014-07-05 06:00:00,2825.0,8.223
2014-07-06 20:15:00,1144.0,2.104
2014-07-29 06:00:00,13071.0,82.858
2014-10-15 12:45:00,869.0,1.39
2014-10-15 17:45:00,926.0,1.529
2014-11-02 03:30:00,869.0,1.39
2014-11-03 17:15:00,2445.0,6.613
2014-11-12 09:30:00,760.0,1.135
2014-11-12 17:15:00,760.0,1.135
2014-11-16 00:00:00,1291.0,2.524
2014-11-18 18:30:00,606.0,0.807
2014-11-19 19:00:00,466.0,0.543
2014-11-22 19:30:00,2525.0,6.942
2014-11-24 21:15:00,1164.0,2.159
2014-12-04 20:15:00,1334.0,2.652
2014-12-09 10:15:00,5515.0,22.551
2014-12-19 00:30:00,2908.0,8.59
2014-12-21 00:30:00,3914.0,13.446
2015-01-01 08:30:00,3244.0,10.13
2015-01-02 13:30:00,837.0,1.313
2015-01-04 19:30:00,588.0,0.771
2015-01-05 03:00:00,521.0,0.642
2015-01-09 11:45:00,3508.0,11.399
2015-01-20 10:00:00,4457.0,16.356
2015-01-21 05:15:00,7050.0,32.658
2015-01-27 02:15:00,921.0,1.517
2015-01-29 15:45:00,5754.0,24.041
2015-01-31 12:30:00,4034.0,14.072
2015-02-05 12:45:00,2510.0,6.88
2015-02-06 02:00:00,637.0,0.87
2015-02-08 09:15:00,2150.0,5.448
2015-02-09 22:30:00,6356.0,27.933
2015-02-16 03:45:00,622.0,0.839
2015-02-16 06:30:00,799.0,1.224
2015-02-16 16:15:00,457.0,0.527
2015-02-17 03:00:00,471.0,0.552
2015-02-21 18:00:00,1247.0,2.396
2015-02-22 01:15:00,4333.0,15.674
2015-03-10 22:15:00,397.0,0.426
2015-03-16 22:00:00,1640.0,3.621
2015-03-22 10:30:00,652.0,0.901
2015-03-24 00:00:00,1020.0,1.769
2015-03-25 12:00:00,4333.0,15.674
2015-03-26 17:45:00,740.0,1.091
2015-03-29 23:15:00,921.0,1.517
2015-04-01 11:45:00,1788.0,4.125
2015-04-02 17:30:00,2135.0,5.39
